	Ob-c_S136_L007_R1_001
ACCOAtr_neg	1440.279716362017
ACCOAtr_pos	1440.279716362017
ACETONEt2_neg	10489.967836688484
ACETONEt2_pos	5.463349308267889
ACETONEt2m_neg	10489.967836688485
ACETONEt2m_pos	0.0
ACGAGBSIDEtg_neg	10906.651127934667
ACGAGBSIDEtg_pos	0.0
ACGAGBSIDEtl_neg	0.0
ACGAGBSIDEtl_pos	10906.651127934667
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_neg	9400.973664953623
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg_pos	9400.973664953628
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_neg	8806.602596497809
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	8806.602596497809
ACGALK2_pos	541.1310577914868
ACGALK_pos	540.1654180803188
ACGALtlg_neg	900.5758832626185
ACGALtlg_pos	0.0
ACGALtly_pos	540.1654180803187
ACGAM2E_neg	3909.650802931508
ACGAM2E_pos	29660.898130208418
ACGAM6PSi_pos	3383.962081817197
ACGAMK_pos	3909.650802931509
ACGAMPM_neg	0.0
ACGAMPM_pos	3909.650802931509
ACGAMtly_pos	2850.0
ACGBGBSIDEtg_neg	900.5758832626183
ACGBGBSIDEtg_pos	0.0
ACGBGBSIDEtl_neg	0.0
ACGBGBSIDEtl_pos	900.5758832626183
ACGPID_pos	50.165479421611806
ACGSm_pos	0.0
ACHEe_pos	5226.0863182952635
ACHVESSEC_pos	4033.8897105829296
ACHtn_neg	5700.0
ACHtn_pos	5700.0
ACITL_pos	5753.359817517323
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11036.358150067399
ACN13ACNGALGBSIDEtg_neg	11036.3581500674
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11036.358150067399
ACN23ACNGALGBSIDEtg_neg	11036.3581500674
ACN23ACNGALGBSIDEtg_pos	0.0
