	Ob-DHA-c_S138_L007_R1_001
ACITL_pos	5730.258533114941
ACN13ACNGALGBSIDEte_neg	0.0
ACN13ACNGALGBSIDEte_pos	11048.595444382649
ACN13ACNGALGBSIDEtg_neg	11048.595444382645
ACN13ACNGALGBSIDEtg_pos	0.0
ACN23ACNGALGBSIDEte_neg	0.0
ACN23ACNGALGBSIDEte_pos	11048.595444382649
ACN23ACNGALGBSIDEtg_neg	11048.595444382645
ACN23ACNGALGBSIDEtg_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEte_neg	12235.438002403493
ACNACNGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNACNGAL14ACGLCGALGLUSIDEtg_pos	12235.438002403494
ACNACNGALGBSIDEte_neg	0.0
ACNACNGALGBSIDEte_pos	11088.524298656817
ACNACNGALGBSIDEtg_neg	11088.524298656814
ACNACNGALGBSIDEtg_pos	0.0
ACNAM9PL2_pos	8585.532802584385
ACNAM9PL_pos	8264.276013933466
ACNAMPH_pos	8264.276013933466
ACNAMlt_neg	17741.365739264063
ACNAMlt_pos	0.0
ACNAMtn_pos	8770.23893488632
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_neg	10007.879863653312
ACNGALACGLCGAL14ACGLCGALGLUSIDEte_pos	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_neg	0.0
ACNGALACGLCGAL14ACGLCGALGLUSIDEtg_pos	10007.879863653314
ACNMLr_neg	18380.120370955334
ACNMLr_pos	8264.276013933466
ACOAD10m_pos	295.5046117324291
ACOAD1fm_pos	18141.979704238835
ACOAD8m_pos	321.7638193166335
ACOAD9m_pos	11844.520173171899
ACOAHi_pos	3191.186288835152
ACOAO7p_pos	17556.744628407145
ACOATA_neg	0.0
ACOATA_pos	0.0
ACODA_pos	0.0
ACONT_neg	1175.0116740635297
ACONT_pos	1175.0116740635297
ACONTm_neg	314.09412615778194
