	WT-911-a_S119_L007_R1_001	WT-DHA-c_S134_L007_R1_001	WT-EPA-d_S142_L007_R1_001	Ob-a_S121_L007_R1_001
RE3557M_neg	9.048895511593393	8.633612843643574	8.819061398558471	9.27141633798897
RE3557R_pos	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3557R_neg	4.332707933640605	4.687620632084895	3.9364023777250634	6.509379148914689
RE3559M_pos	7.862885275253418	8.187005586818435	7.79090233319204	9.051508054965272
RE3559M_neg	7.862885275253418	8.187005586818435	7.79090233319204	9.051508054965272
RE3559X_pos	0.0	0.0	0.0	0.0
RE3559X_neg	0.0	0.0	0.0	0.0
RE3560C_pos	7.671505684425383	7.634665866007271	7.284292026394312	7.892633883424437
RE3560C_neg	7.671505684425383	7.634665866007271	7.284292026394312	7.892633883424437
RE3560M_pos	2.411426245726465	4.20163386116965	2.2265085298086795	5.838699701774244
RE3560M_neg	2.411426245726465	4.20163386116965	2.2265085298086795	5.838699701774244
RE3560X_pos	7.809735979159089	7.748528321057287	7.3586951513290115	8.149747119504681
RE3560X_neg	7.809735979159089	7.748528321057287	7.3586951513290115	8.149747119504681
RE3561M_pos	9.377557603233406	9.311044389623397	9.226050871659655	10.307326057417006
RE3561X_pos	9.598759712750146	9.626092293315217	9.464892853878643	10.489225802019044
RE3562C_pos	0.0	0.0	0.0	0.0
RE3562C_neg	0.0	0.0	0.0	0.0
RE3562M_pos	9.274471340065773	9.22877059985967	8.993646060016596	9.701271802201967
RE3562M_neg	9.274471340065773	9.22877059985967	8.993646060016596	9.701271802201967
RE3562R_pos	10.507090956608716	10.47878983930661	10.350596694141895	10.961608859594357
RE3562R_neg	10.507090956608716	10.47878983930661	10.350596694141895	10.961608859594357
RE3562X_pos	10.507090956608716	10.47878983930661	10.350596694141895	10.961608859594357
RE3562X_neg	10.507090956608716	10.47878983930661	10.350596694141895	10.961608859594357
RE3563M_pos	9.097847785326556	9.479477144994286	8.952013164889486	10.265368911794397
RE3563M_neg	9.097847785326556	9.479477144994286	8.952013164889486	10.265368911794397
RE3563X_pos	6.879338185056242	7.891054578350589	6.663771557482411	8.839707698350368
RE3563X_neg	6.879338185056242	7.891054578350589	6.663771557482411	8.839707698350368
RE3564C_pos	7.182195689807287	6.741332148787993	7.3103401206121505	7.996106236207055
RE3564C_neg	7.182195689807287	6.741332148787993	7.3103401206121505	7.996106236207055
RE3564M_pos	9.302456147992688	9.521482663892739	9.21356600260859	10.703661374091961
RE3564M_neg	9.302456147992688	9.521482663892739	9.21356600260859	10.703661374091961
RE3564X_pos	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3564X_neg	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3565C_pos	0.0	0.0	0.0	0.0
RE3565C_neg	0.0	0.0	0.0	0.0
RE3566C_pos	0.0	0.0	0.0	0.0
RE3566C_neg	0.0	0.0	0.0	0.0
RE3567C_pos	0.0	0.0	0.0	0.0
RE3567C_neg	0.0	0.0	0.0	0.0
RE3568C_pos	0.0	0.0	0.0	0.0
RE3568C_neg	0.0	0.0	0.0	0.0
RE3570C_pos	0.0	0.0	0.0	0.0
RE3570C_neg	0.0	0.0	0.0	0.0
RE3571C_pos	0.0	0.0	0.0	0.0
RE3571R_pos	2.454175893185802	3.0738202332916713	1.7570232465074596	3.0373822220030804
RE3572X_pos	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3572X_neg	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3573X_pos	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3573X_neg	8.136324704708544	8.814806743093092	7.990501111363251	9.86965552850849
RE3574X_pos	7.809735979159089	7.748528321057287	7.3586951513290115	8.149747119504681
RE3574X_neg	7.809735979159089	7.748528321057287	7.3586951513290115	8.149747119504681
RE3575X_pos	0.0	0.0	0.0	0.0
RE3575X_neg	0.0	0.0	0.0	0.0
RE3576X_pos	9.598759712750146	9.626092293315217	9.464892853878643	10.489225802019044
RE3577X_pos	10.507090956608716	10.47878983930661	10.350596694141895	10.961608859594357
RE3577X_neg	10.507090956608716	10.47878983930661	10.350596694141895	10.961608859594357
RE3578X_pos	6.879338185056242	7.891054578350589	6.663771557482411	8.839707698350368
RE3578X_neg	6.879338185056242	7.891054578350589	6.663771557482411	8.839707698350368
RE3580X_pos	9.598759712750146	9.626092293315217	9.464892853878643	10.489225802019044
RE3581X_pos	0.0	0.0	0.0	0.0
RE3581X_neg	0.0	0.0	0.0	0.0
RE3582X_pos	6.879338185056242	7.891054578350589	6.663771557482411	8.839707698350368
RE3582X_neg	6.879338185056242	7.891054578350589	6.663771557482411	8.839707698350368
RE3583X_pos	6.879338185056242	7.891054578350589	6.663771557482411	8.839707698350368
RE3583X_neg	6.879338185056242	7.891054578350589	6.663771557482411	8.839707698350368
RE3586X_pos	7.809735979159089	7.748528321057287	7.3586951513290115	8.149747119504681
