	WT.d_S141_L007_R1_001	Ob.DHA.e_S154_L007_R1_001	WT.1012.c_S135_L007_R1_001	Ob.DHA.b_S132_L007_R1_001
r0233_pos	7.829595899177507	8.10150300916717	7.860590409374856	8.058099988493412
r0236_pos	0.0	0.0	0.0	0.0
r0239_pos	0.0	0.0	0.0	0.0
r0239_neg	0.0	0.0	0.0	0.0
r0242_pos	3.4554916206284685	4.4950555283680185	3.533563348214512	4.391630261517429
r0242_neg	3.4554916206284685	4.4950555283680185	3.533563348214512	4.391630261517429
r0245_pos	7.701341120882624	8.575728316363781	7.924456238622889	8.769275859829497
r0245_neg	7.701341120882624	8.575728316363781	7.924456238622889	8.769275859829497
r0246_pos	7.701341120882624	8.575728316363781	7.924456238622889	8.769275859829497
r0249_pos	1.7484612330040354	2.8579809951275723	2.304511041809953	2.8439838440483265
r0249_neg	1.7484612330040354	2.8579809951275723	2.304511041809953	2.8439838440483265
r0265_pos	0.0	0.0	0.0	0.0
r0267_pos	0.0	0.0	0.0	0.0
r0267_neg	0.0	0.0	0.0	0.0
r0268_pos	0.0	0.0	0.0	0.0
r0268_neg	0.0	0.0	0.0	0.0
r0276_pos	3.1243281350022016	3.6322682154995127	3.440952198029637	3.596935142387232
r0276_neg	3.1243281350022016	3.6322682154995127	3.440952198029637	3.596935142387232
r0280_pos	6.445594291341182	8.883376436672842	7.283551423174307	8.80783788642329
r0281_pos	0.0	0.12432813500220177	0.0	0.0
r0281_neg	0.0	0.12432813500220177	0.0	0.0
r0283_pos	0.0	0.0	0.0	0.0
r0287_pos	6.272894118783175	7.350762424006282	6.508481474318257	7.150458131965739
r0295_pos	4.644433152406245	5.458775699080244	4.828834649468056	5.690137692986635
r0301_pos	3.2868811477881614	3.7387678368001915	3.203201156316611	3.7676547982373463
r0308_pos	1.565597175854225	4.888012585402829	1.8875252707415875	4.94063660720115
r0309_pos	0.0	0.0	0.0	0.0
r0309_neg	0.0	0.0	0.0	0.0
r0310_pos	9.188168462003318	10.696402504896637	9.533310262605756	10.454638590399457
r0311_pos	10.123022066288474	10.726056336763603	10.365174159244491	10.661279302158581
r0317_pos	6.921959917326166	8.009156789171302	7.144250356190519	7.954952363677778
r0317_neg	6.921959917326166	8.009156789171302	7.144250356190519	7.954952363677778
r0321_pos	3.111031312388744	5.547511523644216	4.349789870241872	5.624393382219767
r0330_pos	0.0	0.0	0.0	0.0
r0331_pos	0.0	0.0	0.0	0.0
r0339_pos	0.0	0.0	0.0	0.0
r0340_pos	0.0	0.0	0.0	0.0
r0345_pos	7.077777073288276	7.476867688933087	7.198101209324823	7.758956037602715
