	Ob.EPA.c_S137_L007_R1_001	Ob.EPA.e_S153_L007_R1_001	Ob.1012.b_S133_L007_R1_001	WT.911.b_S129_L007_R1_001
GNDer_pos	6.863814587359642	7.470048726011326	6.966707314150316	4.68873986801449
GNMT_pos	10.847816871526812	11.288906436771805	10.808191957563269	10.524414383989036
GP1CALPHAte_pos	0.0	0.0	0.0	0.0
GP1CALPHAte_neg	0.0	0.0	0.0	0.0
GP1CALPHAtg_pos	0.0	0.0	0.0	0.0
GP1CALPHAtg_neg	0.0	0.0	0.0	0.0
GP1Cte_pos	0.0	0.0	0.0	0.0
GP1Cte_neg	0.0	0.0	0.0	0.0
GP1Ctg_pos	0.0	0.0	0.0	0.0
GP1Ctg_neg	0.0	0.0	0.0	0.0
GPAM_hs_pos	8.002139912627543	9.034248735628992	7.891479945970975	5.601696516480957
GPAMm_hs_pos	8.223615617187269	9.168847587309582	8.090641751917847	6.3125199674749455
GPDDA1_pos	0.0	0.0	0.0	0.0
GPIAT_pos	2.1342209397606338	1.5260688116675876	1.7697717392494479	1.584962500721156
GPIDA2er_pos	1.6229303509201767	1.6780719051126378	1.584962500721156	1.6825732973475784
GPIDAer_pos	1.6229303509201767	1.6780719051126378	1.584962500721156	1.6825732973475784
GPIMTer_L_pos	3.891905188211931	3.327687364176047	3.5084286525318573	3.771885578515366
GPIMTer_U_pos	3.891905188211931	3.327687364176047	3.5084286525318573	3.771885578515366
GQ1BALPHAte_pos	0.0	0.0	0.0	0.0
GQ1BALPHAte_neg	0.0	0.0	0.0	0.0
GQ1BALPHAtg_pos	0.0	0.0	0.0	0.0
GQ1BALPHAtg_neg	0.0	0.0	0.0	0.0
GQ1Bte_pos	0.0	0.0	0.0	0.0
GQ1Bte_neg	0.0	0.0	0.0	0.0
GQ1Btg_pos	0.0	0.0	0.0	0.0
GQ1Btg_neg	0.0	0.0	0.0	0.0
GRTT_pos	2.9891390073682333	2.782408564927373	3.292781749227846	3.2794712956444676
GRTTx_pos	8.066842640341441	8.763743526115679	8.375951690929531	7.00876474486344
GSNKm_pos	0.0	0.0	0.0	0.0
GSNt_pos	6.611615037692342	6.928133407829852	6.643278996311979	7.076281166579489
GSNt_neg	6.611615037692342	6.928133407829852	6.643278996311979	7.076281166579489
GSNt4_pos	0.16349873228287956	0.22650852980867975	0.29865831556451516	0.3103401206121505
GSNtl_pos	1.4750848829487828	1.3276873641760472	1.5753123306874368	2.0214797274104517
GSNtl_neg	1.4750848829487828	1.3276873641760472	1.5753123306874368	2.0214797274104517
GSNtm_pos	6.609695872862739	6.924456238622889	6.635028799027446	7.069530325162305
GSNtm_neg	6.609695872862739	6.924456238622889	6.635028799027446	7.069530325162305
GT1Ate_pos	0.0	0.0	0.0	0.0
GT1Ate_neg	0.0	0.0	0.0	0.0
GT1Atg_pos	0.0	0.0	0.0	0.0
GT1Atg_neg	0.0	0.0	0.0	0.0
GTHDH_pos	0.0	0.0	0.0	0.0
GTHO_pos	5.575312330687437	5.620586410451877	5.451211111832329	5.156639310692087
GTHOm_pos	5.575312330687437	5.620586410451877	5.451211111832329	5.156639310692087
GTHP_pos	11.889431712773195	11.726690747650732	11.850577547205614	11.616833679011261
GTHPe_pos	11.025291854100576	10.761592784122623	10.960921429499347	11.046578366620329
GTHPm_pos	11.429024831875468	11.230050466513825	11.400255058144094	11.226851678171018
GTHRDt_pos	0.0	0.0	0.0	0.0
GTHRDt_neg	0.0	0.0	0.0	0.0
GTHRDtr_pos	0.0	0.0	0.0	0.0
GTHRDtr_neg	0.0	0.0	0.0	0.0
GTHS_pos	6.10076744956886	6.048323386537814	5.643856189774724	5.459103696135399
GTMLTe_pos	0.0	0.0	0.0	0.0
GTPCI_pos	6.111031312388744	6.06177619758669	5.978424465440858	6.387500406480984
GTPCIn_pos	6.111031312388744	6.06177619758669	5.978424465440858	6.387500406480984
GTPtn_pos	0.0	0.0	0.0	0.0
GTPtn_neg	0.0	0.0	0.0	0.0
GUACYC_pos	4.074676686294496	4.11603199344711	4.010779838753243	4.737686761409861
GUAD_pos	3.414135532984451	3.6678921252302343	3.0738202332916713	2.333423733725192
GUAPRT_pos	0.0	0.0	0.0	0.0
GUAt_pos	0.17632277264046287	0.3895668117627256	0.6507645591169021	0.7048719644563528
GUAt_neg	0.17632277264046287	0.3895668117627256	0.6507645591169021	0.7048719644563528
GULLACter_pos	0.0	0.0	0.0	0.0
GULN3D_pos	0.0	0.0	0.0	0.0
GULN3D_neg	0.0	0.0	0.0	0.0
GULNDer_pos	0.0	0.0	0.0	0.0
GULNDer_neg	0.0	0.0	0.0	0.0
GULNter_pos	0.0	0.0	0.0	0.0
GUR1PP_pos	0.0	0.0	0.0	0.0
H2CO3D_pos	0.0	0.0	0.0	0.0
H2CO3D_neg	0.0	0.0	0.0	0.0
H2ETer_pos	2.1009776477248208	2.711494906650088	2.1634987322828794	1.925999418556223
