	WT.DHA.d_S143_L007_R1_001	WT.DHA.b_S128_L007_R1_001	WT.EPA.a_S117_L007_R1_001	WT.1012.d_S145_L007_R1_001
FALDtly_pos	0.0	0.0	0.0	0.0
FALDtly_neg	0.0	0.0	0.0	0.0
FALDtm_pos	0.0	0.0	0.0	0.0
FALDtm_neg	0.0	0.0	0.0	0.0
FAOXC11_pos	6.803743668505225	7.281698250098829	6.869624686204322	7.189923370224934
FAOXC140_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC150m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC160_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC16080m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC16080x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC161802m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC16180m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC170m_pos	6.803743668505225	7.281698250098829	6.869624686204322	7.189923370224934
FAOXC180_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC180x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC1811601m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC1811602m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC1811603m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC182806m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC18280m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC183803m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC183806m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC183806x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC18480m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC18480x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
FAOXC200180m_pos	7.662063046428036	7.9788248407000815	7.671505684425383	7.955882347218068
FAOXC200180x_pos	9.53002911261244	9.87253124481434	10.594256169160536	10.138519268779104
